puuid,region
lFYt6rdYKHNcfGcK3feOv-5ktFTMq2ma-GI4kX3lsJ6Vz91wFnoKEI0nS_Ns_BIT5dgb8FUovJhA5w,AMERICAS
tnEFlr1dAvOZD9AIZF_rbpaQViO4aJT1krKTQh-ekZZwBxvyRuuhBEBaX1slmoyvatdxzSVs7-YQlA,ASIA
jkbw_F9VxAoGsi4iRO91hi450oUGA1-u1BW89FEmPVE4YzGltOBoEobt9DhuEFEkU3n8UGvDDIYhyw,AMERICAS
04IASznuJoMCkzi6PJ7yOJ3AC3OczoreuZOiDuIP5bFNPJwytThhkGVmgEgLCa6ATh4FyS9GKGmeqA,SEA
IKftd2Ic2Zsn9i5ylds32GxNuwCDnO2M6JM5g3L2raCWAIUzQyq5OheRAEBjkfCrj7Jgme-kxFGlbw,AMERICAS
nlQhTWHbau88tf7Wvq3ILu2c1eyKYh645-a2B2fRO6_eImlDx_4Vk171GubkoCTY_Q6KjdIV28PTeA,SEA
2-xaBe8paJ4BFe5gHElcqaRfYWPMdKu3iCf3e1pE5eocHYnXHoN4ol4fQL5sYPI95KEpEK2tBXA1yg,SEA
DLJ7RxAjHOQm3jwIK_rBLRID3Uz-lf89VNFHZHc8g7jqlCrE3K4sqoosatCx-qokySMQA8RYNG2-ZQ,EUROPE
_9P58xYSCDQEd_xUyAANezM-SaJ8RLG1gSYwhU23rtF3BKw6rZJowaIM-HgxxIzFw6xSv_UpMkz0ZA,ASIA
hHZd9vdgaVxRPRBkdJ80RW8oKxXmYKrM4mAX-9u_hbTKg68CcSKuRBTEEgfe7TFLgnKuMmmth6tlpA,EUROPE
r-hBS3Rcut98ISCCBwhl4i2aFG21tXTd2ssEoT3dWFmnAd9TBzDtjteQoedJGniBppse6ugKWx76Cw,AMERICAS
etmnN_6a7KYrR6v_IU5HlbS26weyHP169ljClswTKrEhBpEYv4oQ0RlyrwSp0chsNVS7N-40WXOBiw,EUROPE
oSMAeTTrgjPiBUf_W4yZ_JoMAO-T-sA2zhhbzXxgb6F6if5yzJeCD4ya2LKy41dCZtne-a8y6QHQhA,SEA
b_GecA0o26-2usv1M99pz99VXFp0yHBoxaAMKmGf-tbFfyIlCVR-azYnQitn9PcXrwaljGo1__bNig,AMERICAS
neDNAWT15_9hxC2DW4eB1EK8JMftdadSe8qnSA7jV4HVsMvWxrDLUX8TMlTN0I3ELITOdSsUS98K9w,SEA
UUiebeZlF4l7nzfFyAUnwDPxBCaWWT5ZJJqdAOZv2CQB2zJYCyzonOmDjQ_b1_BiuxKK61rxjItoGw,EUROPE
E_gikVnOoBorqrTtapwGNOPD19SPWqOSxOgB1d-7E_vJe2Lob6yRS8ouS7JKg2Qv5P4GGXSqk3uxkQ,EUROPE
4Jf0lNr9Nt6-ZuCs2gEK7H8hI21UMEU5Oz2Tm21ydo5b6jPSBxu085V7-_VBD1gRCdwpUMOW6t6o0w,EUROPE
HLjWwyL1hy_s-V0EQv45PNK0pe1L72guklvHNrn0Wr-s-6oarsL23lxEQciZ7eeg1JAq1VLJdpf8-g,SEA
kzlegnxVF3pc3RPXNABb9UcNfvm74cE1WSbkumpfLEZKMtU2zp9slBmL0Gr8RrHMbJOoCuPLp7zw2Q,SEA
BSFc7laugU1nbNkQVv0D-WPvuXzIFL3clYzbnwix75bITNrrAdEYAGs_BVaqYFrLFyWDGEJe1eGMsA,SEA
lJj-Ki9MFtvUNV2l0DpVXrVK4zyivF-fexpOzpivAcXijnvF-jffg2qM68jPT7H43b_Byo7Z4Y4Puw,SEA
jg__OBCXXAODxuFPUUL2J213YpRUaTmLpJ0j5UQYKpTnbpAdZKzjpwMvnkKXggBhFkFq89MlmUSVzA,AMERICAS
84saIuYRABPGfkJWiY3Y_0G1fn_1p2a7OKL1Y3IXT5u7dbDQ8YrWF6NSd6zONGEc33RIaX4W1G_H4A,SEA
6ge48yXw_GnPLjFSvHAvGmGp2WMKD1mSrFwDj-tEjipG-81o6py_R9lYCLz3YZ8I7V7FuSaXMDd6uw,SEA
6J1SvBEqCyALOJCVlafmTq9GNBohE8vfnvJGDEoNZIrfdkuvh6VYyS3t_J__qKDHvl4_fsI4QC22Eg,SEA
RvTcsS5PiVB2p85PSek4qW61MprtUeYHt3KShguxq5Q6mKoZs2jGX0y4KCrzEa6gZAkqS2es9g4URg,AMERICAS
lKcx9PwHp0sI_pAHhMZbOZLqY5wNvmETMFl1PSQrGqsdAYgtTFIINoNBOfvKxsntb__vApGuNJtnow,SEA
E1XfrUW_Cv3Zhu6Ds0Pv_fhMUcbu8f0jTJatv_HA3wtV3YGytFaTStjmWwNJDM-mFEVSqw1SM_bPkw,ASIA
ozWNmMeefHVKjvz2f7A2gEBkb4qu2iN4MyNzUk-F25tUM8nCUR6KuJEquvJrLduk4VKjYmrEdOdcHw,SEA
8QLsHG3cIvDFzRQFlMhmchr2iCQwJLbCnNJKFEAMV6uXNgqjKgja9KCzG3hYzVZNnJnpH-exxzi-vA,AMERICAS
-y_yhvYOQKtSr222nT4Yvxk7-1aI-1gK14x6pSFgXfrFB2HpPdI8gQlDQlDciyhJdjw_TUSSldYXdw,EUROPE
tMtlckeQ7K91LS94OTsP_jQewJJ1UGm2yUT8-hfVURk_MUx5JMZwa52wKgW7d29h-sYvUP2ng0UwoQ,AMERICAS
JJOhSyzYAImrfo_PxPLx7awqkQgrvULE21eYO5kNcaeTKeSD0CfbpEnoPbTchT4T451OBdPz3bBsnw,SEA
pzVnddv3kQ4OS6eaRZX5qRPXeT8eRqDx9PDBzaiqUNIQ7F00ZB9EXSo3EBPQmZdAHlTVmQFcWKbPkg,EUROPE
KWoeJaGkq99WIOOGe5e0Uo65TSWlOLPEdHhL-GB38b3NcsVsSAh6YpYZ1a9JvUTqilpmOwsqVR0QZw,SEA
UrM2DzRqV4gcQ53PSo5FBXn36YZyDv-Anc0QcS-b5jYIWYLLigIL6vjlOgzfKBQv1lP0vLcHRssGDA,SEA
2IO1x--xdW0KPyqrkkDa9rEUCh_q4xYp6TruDWtZTYBYxqlI8utnbRTeaNVOqqmT95gQlAp-CVsvGQ,EUROPE
-YL6gMeDw3X4PaVptiD6m9km7jn2K_VfSjjTzGNOD17AB_7Tnf79PgjccyQpzb20yTV2Zl3zZU0IXA,SEA
7pT6F6oPg2v9TUP0F4kvMiRpaZYMyoB4PQzhNYQqqz6AyAzv9_mGj9ubN6j4CoKl8Syvq2QcUlFjOg,SEA
oIUJejJDdxrzMKKb_lyRwh8ONZ3vbsrAF7sO9zLjVUMIh5WgymXKbycYeH-E_mxpFq6kUmUh4h_2fw,ASIA
SaMXNCpc62-pnwFCDDgOfUsOyj_u8OjUsZu2SBM46hWFITA3UbvGDpb4X7yASrD9KRUxYJurhqk2pQ,EUROPE
UxXoEJi3Wi8ymalbsxLPwljCS6gCLgO-mVnLtsfTJfZ37Qqv-e905AQzoair2_dnl72RXXznHJK3_g,SEA
cYj5kPSU9uggYx7t1tElsH5YtGu7OIWKXJ_TBGm5KH0rwA2lIISw5cTZgL3Ig0iyj4Ee5fulmBcWXQ,EUROPE
0D1-H4o2tJ-sn78-UXqJVIh2zOBTqpy3zI9j-kOkf3QotTg--JSBNUq0V-bPqpMYfWd-Gj1UfcqExA,SEA
JKcPU0VI0bpWU5g3C8JUdvlI2x46xtZpjNGFUb57udZvRBpNJAS0cHPM3XzELqxGGoEaxVoWlpDHIw,EUROPE
zt1QyUkxTAMEwUcHcq8GmvXfH8X06Q75IenMqWTAoZganJgoRn0rCOE0VOpDC4WfbpOKoohdP0TKVQ,AMERICAS
6hFTEbcGSm7WdvyfyFDZcxyZqO3rSTEMinE0-YcsriCan79LqHFKZL_b9UVZMiPYIEjEOF2hMWEyfQ,SEA
PmVBntwX146DqzUaTmZHmVJ90DD1VBOuKryy86mSb4H6A3FyEL50HWvjBjOFegvhYigoFjD2fTe11A,AMERICAS
UmO8EHbL--8HLOwHU2j--0scRaLA3UqtExgbevcSoiiWt-oPmHGLWL1i32mThWSAVOzYdfIGdfqXPA,ASIA
